,url,first_party,third_party
0,"amazon.de/gp/help/customer/display.html?nodeId=201890250&ref_=footer_cookies_notice
",amazon.de,
1,"amazon.de/gp/help/customer/display.html?nodeId=201890250&ref_=footer_cookies_notice
",amazon.de,
2,"amazon.de/cookieprefs/partners
",amazon.de,
3,"amazon.de/cookieprefs?ref_=ya_d_l_cookie_prefs
",amazon.de,
4,"amazon.de/gp/help/customer/display.html?nodeId=201909010&ref_=footer_privacy
",amazon.de,
5,"amazon.de/cookieprefs?ref_=portal_banner_cpp
",amazon.de,
6,"amazon.de/ref=nav_logo
",amazon.de,
7,"amazon.de/gp/customer-preferences/select-language/ref=topnav_lang?ie=UTF8&preferencesReturnUrl=%2F
",amazon.de,
8,"https://www.amazon.de/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.de%2F%3F_encoding%3DUTF8%26ref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=deflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&
",amazon.de,
9,"amazon.de/gp/css/order-history?ref_=nav_orders_first
",amazon.de,
10,"https://www.amazon.de/gp/cart/view.html?ref_=nav_cart
",amazon.de,
11,"amazon.de/gp/site-directory?ref_=nav_em_js_disabled
",amazon.de,
12,"amazon.de/blackfriday?ref_=nav_cs_gb_td_bfc_dt_cr_99f42729c8154a059000faee000e5309
",amazon.de,
13,"amazon.de/Lebensmittel-Getr%C3%A4nke/b/?ie=UTF8&node=340846031&ref_=nav_cs_consumables_417db1bf7899440ea6b9ede79881d408
",amazon.de,
14,"amazon.de/gp/bestsellers/?ref_=nav_cs_bestsellers_4b9b1e4c3c8d4e3ab044487b9922fbcf
",amazon.de,
15,"amazon.de/stores/node/1686827031/?field-lbr_brands_browse-bin=AmazonBasics&ref_=nav_cs_amazonbasics_b6d5761fe729487ba89923fa99b3429f
",amazon.de,
16,"amazon.de/gp/new-releases/?ref_=nav_cs_newreleases_ea9f7d78df4e46e482aae5c6d97c15f4
",amazon.de,
17,"amazon.de/gp/help/customer/display.html?nodeId=508510&ref_=nav_cs_help_5f86a98692ee4ec48309e99c4bde2e6b
",amazon.de,
18,"amazon.de/prime?ref_=nav_cs_primelink_nonmember_bba7beeda60b4da09024b49372e41783
",amazon.de,
